Club Name,Location,Day,Time
Aeronautics Club,511,Thursday,Lunch
Agape,72,Tuesday,Lunch
American Cancer Society,72,Tuesday,Brunch
AISA,408,Tuesday,Brunch
Anime Club,1,Tuesday,Lunch
ARK,401,Thursday,Brunch
Astrophysics,1,Wednesday,Lunch
Athletics Unlimited,503,,
Breakdance,Dance Studio,Friday,Lunch
Bridge,306,Friday,Lunch
CardioMed Club,510,Wednesday,Brunch
Character Design Club,70,Wednesday,Lunch
Coding Art,2,Friday,Lunch
Computer Science Club,608,Monday,Lunch
Conservation Action Association,611,Tuesday,Brunch
Creative Game Design,,,
CSF,Gym,Tuesday,Lunch
Culinary Arts Club,509,Tuesday,Lunch
Data Analysis,603,Thursday,Lunch
DECA,,Friday,Lunch
Economics Club,503,Tuesday,Lunch
Engineering Club,409,Monday,Lunch
Forensic Science Club,214,Thursday,Lunch
French Club,114,Wednesday,Lunch
Gender and Sexuality Alliance,303,Thursday,Lunch
Hands-On STEM,Library,Wednesday,Lunch
Student Health Outreach for Kids,209,Thursday,Lunch
Indesign,70,Wednesday,Lunch
Interact,2,Tuesday,Lunch
Intersections,307,Friday,Lunch
Japanese Club,111,Monday,Lunch
Japanese National Honor Society,111,Monday,Brunch
Korean Club,,Monday,Lunch
LEO,,Monday,Brunch
Smash Bros Club,112,Wednesday,Lunch
FBLA,701,Wednesday,Lunch
Politics,511,Monday,Lunch
Robotics,608,Wednesday,Lunch
Speech & Debate,Zoom ,Thursday,4:00 PM
Web Development Club,111,Tuesday,Lunch
Machine Learning Club,608,Friday,Lunch
Marine Wildlife Club,409,Tuesday,Lunch
Martial Arts Club,202,Friday,Lunch
Math Honor Society,403,Tuesday,Lunch
Mobile Development Club,,,
Mock Trial,501,,
Model United Nations,410,Wednesday,Lunch
Music,Choir Room,Wednesday,Lunch
Music for Community,Band Room,Thursday,Brunch
Muslim Student Association,110,Wednesday,Lunch
National Chinese Honor Society,104,Tuesday,Brunch
National Spanish Honor Society,Library,Friday,Brunch
Neuroscience,107,Monday,Lunch
Octagon,410,Thursday,Brunch
Paper Airplanes,504,Tuesday,Lunch
Photography Club,76,Friday,Lunch
PreMed,,Wednesday,Lunch
Lynbrook Public Art and Crafts Club,73,Wednesday,Lunch
Red Cross,213,Wednesday,Brunch
Research,302,Thursday,Lunch
Science Fiction,211,Wednesday,Lunch
Science Olympiad,1,Monday,Lunch
Society of Psychology & Sociology,210,Tuesday,Lunch
Spanish Club,,Wednesday,Brunch
Sports Analytics,701,Wednesday,Lunch
Sports Medicine,2,Thursday,Brunch
Students for Literacy,Library,Wednesday,Brunch
International Thespian Society,74,Monday,Lunch
Surgery Interest Club,112,Tuesday,Lunch
Team HBV,408,Monday,Brunch
Ted-Ed,112,Friday,Lunch
Vertigo Literary Magazine,214,Wednesday,Lunch
Viking Buddies,506,Wednesday,Lunch
Viking Vocalists,72,Friday,Lunch
Virtuosity,603,Wednesday,Lunch
Women in STEM,108,Tuesday,Brunch
YAK,7,Thursday,Brunch
French Honor Society,Library,Monday,Lunch
Key Club,603,Thursday,Brunch
Animal Services and Protection,70,Monday,Brunch
FTC Robotics,Zoom,Tuesday,4:00 PM
